Player,Salary,Year
Ola Aina,3120000,2020
Oleksandr Zinchenko,1040000,2021
Oliver Burke,457600,2021
Oliver McBurnie,1040000,2021
Oliver Norwood,780000,2021
Oliver Skipp,0,2021
Olivier Giroud,5720000,2020
Ollie Watkins,3900000,2021
Omar Bogle,312000,2019
Onel Hernández,1140000,2020
Onyinye Ndidi,3900000,2021
Orestis Karnezis,988000,2017
Oriol Romeu,3380000,2019
Orjan Nyland,1040000,2019
Oskar Buur,2000000,2019
Ouasim Bouy,450850,2020
Oumar Niasse,2860000,2019
Ovie Ejaria,104000,2017
Ozan Kabak,3380000,2020
Pablo Fornals,3500000,2021
Pablo Hernández,988000,2020
Pablo Marí,4420000,2020
Pablo Zabaleta,3900000,2019
Pape Sarr,1040000,2021
Pape Souare,1560000,2018
Pascal Gross,2600000,2021
Pascal Struijk,371800,2021
Patrick Bamford,1820000,2021
Patrick Cutrone,3272000,2019
Patrick Roberts,520000,2020
Patrick Van Aanholt,2860000,2020
Patson Daka,3230000,2021
Paul Dummett,1820000,2021
Paul Pogba,15080000,2021
Paulo Gazzaniga,700000,2021
Pedro Neto,2600000,2021
Pedro Obiang,2860000,2018
Pedro Rodríguez Ledesma,3000000,2019
Per Mertesacker,4680000,2017
Peter Crouch,2080000,2018
Petr Cech,5720000,2018
Phil Bardsley,1300000,2021
Phil Foden,624000,2021
Phil Jagielka,2600000,2020
Phil Jones,3900000,2021
Philip Billing,780000,2021
Philip Heise,842000,2020
Philippe Sandler,1976000,2020
Pierluigi Gollini,1300000,2021
